grunn av avviklingen av renholdstjenester der det var,0
etter flere år med en,0
høyest lønn i tre av stillingskodene 14 14 og 48 over,0
forsvarsbygg bruker betydelige midler på opprydding av skyte og øvingsfelt og ønsker at omfang av tiltak gjøres basert på helhetlige tiltaksvurderinger ikke ensidig på forurensningsgrad,0
effektive bygg i bergensområdet innenfor en akseptabel,0
og det ble i fjor bygget et infiltrasjonsanlegg for rensing,0
pågående fouprosjekter gir stadig ny kunnskap,0
forsvarsbygg og avinor har derfor opplevd noe ulik behandling av,0
andelen kvinnelige ledere var på 219 prosent ved utgangen,0
fokus på å øke andelen kvinnelige ansatte og ledere og vil,0
samtlige boligeiere vil motta en oppsummerende naborapport i forhold til om tiltak vil bli tilbudt eller ei,0
andelen er noe høyere for kvinner enn for menn,0
forsvarsbygg er opptatt av å beholde en god og rett,0
z i 2019 utarbeidet vi særskilt informasjon knyttet,0
det påpekes at pfaskartlegging ved bodø flystasjon er,0
arkitektstillingene og prosjektlederstillingene er besatt av,0
med andre virksomheter i forsvarssektoren og eiendoms,0
tilsettingsforhold er rimelig likt fordelt mellom kjønnene,0
prosent lavere enn for menn mens kvinnene hadde høyere,0
fordelingen av stillingstyper,0
z varslingssystemet og rutinene for å hindre trakasse,0
kvinnelige ledere på alle nivåer,0
militært tilsatte i forsvarsbygg er alle menn,0
forsvarsbygg har fokus på å beholde en god og rettferdig lønnsbalanse mellom kjønnenei 2017 har 46 prosent 51 prosent i 2016 av våre ansatte avviklet foreldrepermisjon,0
menn mellom 14 og 42 lønnstrinn,0
vi har sørget for gode leveranser til forsvaret og gjennom,0
og én prosent ansatt i militære stillinger,0
varierer innenfor den enkelte stillingskode i tillegg til,0
dette skyldes godt teamarbeid også internt hos oss ikke minst at vi sitter med mye kompetanse i forsvarsbygg og forsvarsbygg nasjonale festningsverk nfv,0
z dovrefjellsunndalsfjella nasjonalpark ble med vedtaket,0
vi har i 2018 vist at forsvarsbygg er en viktig beredskaps,0
dette er innenfor,0
gode rutiner for oppfølging av naturverdier gjennom daglig,0
menn i de ulike stillingskodene i forsvarsbygg,0
kvinnene var på 59 prosent mens det blant mennene var,0
midlertidige stillinger har omtrent lik kjønnsfordeling som faste stillinger i forsvarsbygg med en kvinneandel på 33 prosent,0
det eneste stedet som skiller seg litt fra dette i så måte er blåtårnet på slottet hvor ledlamper lager et helt spesielt blåskinn som skaper en nærmest magisk stemning og er vakkert å se på,0
til den lave kvinneandelen i denne avdelingen er først og fremst den lave andelen kvinner i rekrutterings,0
veikart for det videre forbedringsarbeidet fram mot 2021,0
tiltaksløsninger som grunnlag for eventuelle tiltak senere,0
av tverrfaglighet mangfold og likestilling,0
natoøvelsen trident juncture har vi vist at vi er en,0
elleve stillingskoder i forsvarsbygg hvor det er fire eller,0
jeg regner med at vi vil se til erfaringene med visund i mange av de kommende prosjektene vi skal i gang,0
arbeidet for mangfold i virksomheten,0
vårt mål er at arbeidsmiljøet i forsvarsbygg skal,0
største avdeling og har dermed stor innvirkning på,0
for refleksjon fra skog og fjellsider,0
det er liten innbyrdes lønnsforskjell mellom kvinner og,0
april 2018 vedtok regjeringen formelt å verne,0
å tilføre masser utenfra på grunn av faren for å få inn,0
gjennom rekrutteringsprosessene våre internt og eksternt,0
snittslønnen mellom kjønnene mindre enn 7 000 kroner,0
foreldrepermisjonsdager tok kvinnene ut 683 prosent,0
og kvinnene har høyest gjennomsnittslønn i to av disse,0
digitalisering og bruk av digitale verktøy er ofte en forutsetning,0
